epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
149,cnn,translation,0.0,0.0,1.7668176951701753e-05,0.46395477652549744,1.0,0.9565833210945129,,,,,,,,,
150,cnn,translation,0.0,0.0,1.5499796063522808e-05,0.46923497319221497,1.0,0.956333339214325,,,,,,,,,
151,cnn,translation,0.0,0.0,1.359103225695435e-05,0.4752550423145294,1.0,0.956250011920929,,,,,,,,,
152,cnn,translation,0.0,0.0,1.2111442629247904e-05,0.48036113381385803,1.0,0.9558333158493042,,,,,,,,,
153,cnn,translation,0.0,0.0,1.0305323485226836e-05,0.48577985167503357,1.0,0.9555833339691162,,,,,,,,,
154,cnn,translation,0.0,0.0,9.143092029262334e-06,0.49093809723854065,1.0,0.9557499885559082,,,,,,,,,
155,cnn,translation,0.0,0.0,7.829982678231318e-06,0.4976062774658203,1.0,0.9555833339691162,,,,,,,,,
156,cnn,translation,0.0,0.0,6.66059713694267e-06,0.5045110583305359,1.0,0.9555000066757202,,,,,,,,,
157,cnn,translation,0.0,0.0,5.712674465030432e-06,0.5096442103385925,1.0,0.9556666612625122,,,,,,,,,
158,cnn,translation,0.0,0.0,5.1017200348724145e-06,0.5140112042427063,1.0,0.9559166431427002,,,,,,,,,
159,cnn,translation,0.0,0.0,4.4875487219542265e-06,0.5184394121170044,1.0,0.9557499885559082,,,,,,,,,
160,cnn,translation,0.0,0.0,3.821511199930683e-06,0.5257602334022522,1.0,0.9559999704360962,,,,,,,,,
161,cnn,translation,0.0,0.0,2.9636360068252543e-06,0.5322073698043823,1.0,0.9558333158493042,,,,,,,,,
162,cnn,translation,0.0,0.0,2.629447408253327e-06,0.5387913584709167,1.0,0.9555833339691162,,,,,,,,,
163,cnn,translation,0.0,0.0,2.0979780401830794e-06,0.5432664752006531,1.0,0.9559999704360962,,,,,,,,,
164,cnn,translation,0.0,0.0,1.9374731436982984e-06,0.5500234961509705,1.0,0.9555000066757202,,,,,,,,,
165,cnn,translation,0.0,0.0,0.15153692662715912,0.3622783422470093,0.9706041812896729,0.9542499780654907,,,,,,,,,
